For storage,Benchmark,default,small_llc,low_bandwidth,scrambled_loads,compensation score/sum
1kilobyte,,,,,,
,GemsFDTD_trace2.dpc,3.451243,3.451243,3.415384,3.426707,
Paper 1,gcc_trace2.dpc,0.312792,0.314334,0.171156,0.309868,
Karsli's paper ,lbm_trace2.dpc,2.022649,1.796859,0.966192,2.022447,
,leslie3d_trace2.dpc,1.6808,1.499577,0.731972,1.648271,
,libquantum_trace2.dpc,3.290714,3.290714,3.218517,3.290658,
,mcf_trace2.dpc,0.369368,0.232186,0.225447,0.370712,
,milc_trace2.dpc,1.248977,1.159031,0.619274,1.266517,
,omnetpp_trace2.dpc,2.124865,1.427066,1.7303,2.154613,
,,,,,,
Combined,GemsFDTD_trace2.dpc,3.233887,3.233887,3.256815,3.160832,
Prefetcher,gcc_trace2.dpc,0.269286,0.268551,0.167791,0.258674,
(Paper 1 + 2),lbm_trace2.dpc,0.909151,0.845469,0.662738,0.88145,
,leslie3d_trace2.dpc,1.048301,0.962653,0.674341,1.025772,
,libquantum_trace2.dpc,3.324635,3.324635,3.171756,3.330737,
,mcf_trace2.dpc,0.365179,0.226926,0.219541,0.366284,
,milc_trace2.dpc,1.340598,1.286016,0.616722,1.357399,
,omnetpp_trace2.dpc,2.053875,1.379194,1.715148,1.989836,
,,,,,,
Best offset,GemsFDTD_trace2.dpc,3.452212,3.452212,3.417063,3.431521,
prefetcher,gcc_trace2.dpc,0.342874,0.345052,0.178854,0.342537,
,lbm_trace2.dpc,1.993472,1.782171,0.97968,1.993073,
,leslie3d_trace2.dpc,1.653526,1.503483,0.729701,1.615069,
,libquantum_trace2.dpc,3.26237,3.26237,3.164332,3.26237,
,mcf_trace2.dpc,0.374773,0.236673,0.226668,0.377662,
,milc_trace2.dpc,1.270462,1.18062,0.62014,1.249284,
,omnetpp_trace2.dpc,2.154113,1.434287,1.609772,2.175667,
,,,,,,
Paper 2,GemsFDTD_trace2.dpc,3.289929,3.289929,3.260813,3.202388,
Sung's paper,gcc_trace2.dpc,0.261459,0.261719,0.16904,0.25551,
,lbm_trace2.dpc,1.576688,1.452086,0.912119,1.650706,
,leslie3d_trace2.dpc,1.091954,0.991789,0.676042,1.03891,
,libquantum_trace2.dpc,3.337695,3.337695,3.172912,3.334779,
,mcf_trace2.dpc,0.3591,0.241714,0.223358,0.361301,
,milc_trace2.dpc,1.159881,1.138083,0.575299,0.976695,
,omnetpp_trace2.dpc,2.225574,1.50128,1.792749,2.16125,